epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.979,0.7671,0.54378,1.12186,0.89439,0.82051,0.92749,0.73996,0.73966,0.5198,1.20041,0.0011882,0.0011882,0.0011882
43,127.595,0.70323,0.536,1.08743,0.90363,0.98291,0.96902,0.76589,0.75565,0.46856,1.17644,0.0011684,0.0011684,0.0011684
44,130.168,0.7251,0.52559,1.10178,0.918,0.95689,0.95394,0.7648,0.73003,0.48162,1.17412,0.0011486,0.0011486,0.0011486
45,132.645,0.75008,0.52596,1.12856,0.87844,0.95726,0.9678,0.78853,0.68721,0.43839,1.13143,0.0011288,0.0011288,0.0011288
46,135.151,0.70157,0.50468,1.0964,0.90698,0.91453,0.95469,0.74781,0.71095,0.43457,1.17789,0.001109,0.001109,0.001109
47,137.806,0.71205,0.50409,1.10841,0.91889,0.96836,0.96685,0.77058,0.70785,0.42811,1.15723,0.0010892,0.0010892,0.0010892
48,140.358,0.71925,0.51627,1.10931,0.9132,0.97436,0.96551,0.77097,0.68585,0.44723,1.13299,0.0010694,0.0010694,0.0010694
49,142.878,0.73112,0.4965,1.10593,0.9049,0.98291,0.96961,0.78432,0.77628,0.43257,1.16486,0.0010496,0.0010496,0.0010496
50,145.39,0.69028,0.48312,1.09679,0.90114,0.95726,0.96553,0.77334,0.7582,0.43885,1.16385,0.0010298,0.0010298,0.0010298
51,147.904,0.67044,0.48107,1.08488,0.92248,0.95726,0.96919,0.78488,0.72098,0.40171,1.1369,0.00101,0.00101,0.00101
52,150.477,0.70196,0.48974,1.08634,0.9129,0.89585,0.95013,0.74585,0.70927,0.44753,1.13373,0.0009902,0.0009902,0.0009902
53,152.912,0.67195,0.49923,1.08702,0.91188,0.91453,0.94982,0.74745,0.73967,0.45953,1.17277,0.0009704,0.0009704,0.0009704
54,155.547,0.66517,0.46384,1.08863,0.93798,0.94017,0.9743,0.8024,0.6915,0.37831,1.10759,0.0009506,0.0009506,0.0009506
55,158.118,0.67997,0.46837,1.07527,0.88836,0.99145,0.96729,0.77454,0.7112,0.41248,1.14692,0.0009308,0.0009308,0.0009308
56,161.276,0.65394,0.46244,1.07847,0.86906,0.95726,0.96701,0.8001,0.68074,0.43339,1.11866,0.000911,0.000911,0.000911
57,164.06,0.69925,0.48532,1.08924,0.91959,0.98291,0.96762,0.76644,0.7324,0.46511,1.17361,0.0008912,0.0008912,0.0008912
58,166.573,0.6528,0.45081,1.06627,0.91851,0.96341,0.97016,0.77286,0.70885,0.41815,1.15942,0.0008714,0.0008714,0.0008714
59,169.067,0.65951,0.44988,1.07256,0.93197,0.98291,0.97215,0.79532,0.6807,0.43914,1.10911,0.0008516,0.0008516,0.0008516
60,171.525,0.69816,0.46741,1.08792,0.91795,0.98291,0.96656,0.78666,0.7174,0.43637,1.16665,0.0008318,0.0008318,0.0008318
61,174.067,0.68253,0.46419,1.08987,0.90401,0.95726,0.96184,0.76714,0.70911,0.40564,1.10214,0.000812,0.000812,0.000812
62,176.672,0.65622,0.45242,1.07988,0.91217,0.94017,0.97061,0.78932,0.71108,0.38581,1.14135,0.0007922,0.0007922,0.0007922
63,179.155,0.66615,0.4523,1.07866,0.91995,0.94017,0.9704,0.76624,0.73827,0.38826,1.21457,0.0007724,0.0007724,0.0007724
64,181.719,0.6808,0.46732,1.07044,0.91301,0.94872,0.97151,0.78213,0.6775,0.39307,1.10959,0.0007526,0.0007526,0.0007526
65,184.252,0.68561,0.45543,1.07193,0.90428,0.97436,0.97401,0.79029,0.66508,0.37355,1.09348,0.0007328,0.0007328,0.0007328
66,186.746,0.63771,0.44131,1.06629,0.93177,0.94872,0.9741,0.77476,0.73568,0.3926,1.14982,0.000713,0.000713,0.000713
67,189.27,0.64986,0.43614,1.07285,0.93576,0.92308,0.97052,0.77951,0.68111,0.38885,1.06596,0.0006932,0.0006932,0.0006932
